length,rapidfuzz,python-Levenshtein,cdifflib
1,1.1804100358858705e-06,5.992730148136616e-06,7.654329820070416e-06
3,1.439620100427419e-06,6.6609299392439424e-06,8.147250046022236e-06
5,1.6681698616594075e-06,7.240209961310029e-06,9.178170002996922e-06
7,2.250130055472255e-06,9.357089875265955e-06,1.0359160078223796e-05
9,2.701079938560724e-06,1.1119879782199859e-05,1.1275970027782023e-05
11,3.284980193711817e-06,1.2979820021428167e-05,1.1449329904280602e-05
13,4.099110083188862e-06,1.5005630266387016e-05,1.1635029804892838e-05
15,4.967550048604608e-06,1.8044310272671283e-05,1.195327000459656e-05
17,5.341299984138459e-06,1.99937800061889e-05,1.5090469969436526e-05
19,5.8069798978976905e-06,2.2356180124916136e-05,1.3501170033123344e-05
21,6.206560065038502e-06,2.6649079809430988e-05,1.4447270077653229e-05
23,6.737479998264461e-06,2.9574549989774825e-05,1.541951991384849e-05
25,7.3015899397432804e-06,3.105773008428514e-05,1.6347990022040905e-05
27,8.999860147014261e-06,3.203952015610412e-05,1.851111010182649e-05
29,9.10325994482264e-06,3.666272998088971e-05,1.9067449902649968e-05
31,8.700299949850888e-06,3.983337985118851e-05,1.9287760078441352e-05
33,9.02682018931955e-06,4.4034949969500306e-05,2.034364006249234e-05
35,9.576299926266073e-06,4.804278985830024e-05,2.1409880137071014e-05
37,9.916769922710955e-06,4.9608940025791524e-05,2.2193900076672434e-05
39,1.0348919895477593e-05,5.240859987679869e-05,2.3356970050372183e-05
41,1.1423490068409592e-05,5.604654987109825e-05,2.5001920002978297e-05
43,1.1738270113710314e-05,5.643996992148459e-05,2.7621089830063285e-05
45,1.2020590074826032e-05,6.091175018809736e-05,2.603842003736645e-05
47,1.364322000881657e-05,6.8170280137565e-05,2.7707729896064847e-05
49,1.3727199984714389e-05,6.817239976953715e-05,2.872769982786849e-05
51,1.4184530009515583e-05,7.023030979325994e-05,2.903054002672434e-05
53,1.534125010948628e-05,7.600310986163095e-05,3.110788005869836e-05
55,1.5486780030187218e-05,8.351340977242217e-05,3.220648999558762e-05
57,1.6288550104945897e-05,8.17498698597774e-05,3.3219629840459676e-05
59,1.7094300128519537e-05,8.323429996380583e-05,3.35906000691466e-05
61,1.7979689873754977e-05,9.458323998842388e-05,3.6424120189622044e-05
63,1.8257719930261373e-05,9.628455998608843e-05,3.6612080002669245e-05
65,1.920810987940058e-05,9.663810982601717e-05,3.788159985560924e-05
67,2.005730988457799e-05,9.836889017606154e-05,3.8190629857126625e-05
69,2.0424110116437076e-05,0.00010447523993207142,3.9743089873809365e-05
71,2.1095410047564656e-05,0.00010820427996804938,4.0787629841361196e-05
73,2.1923000167589636e-05,0.00011114260996691883,4.22032899223268e-05
75,2.211379003711045e-05,0.0001138981498661451,4.2711739952210336e-05
77,2.312716009328142e-05,0.00012909689015941695,4.651166993426159e-05
79,2.418048999970779e-05,0.00013006466993829236,4.6888000215403733e-05
81,2.4642450152896345e-05,0.00012849233986344188,4.7573730116710065e-05
83,2.5210549938492478e-05,0.00013456168002448976,4.882964974967763e-05
85,2.5961339997593313e-05,0.00013365850987611338,4.9934419803321364e-05
87,2.6097350055351853e-05,0.0001456654301728122,5.198619997827336e-05
89,2.7543199830688537e-05,0.00014692650001961737,5.3199220274109394e-05
91,2.690274006454274e-05,0.00015186387026915326,5.3944099927321074e-05
93,2.792693005176261e-05,0.00015888695983448997,5.702177004422993e-05
95,2.9511050088331102e-05,0.00017516102001536638,5.8928169892169535e-05
97,2.9582669958472253e-05,0.00017416501010302453,5.954776977887377e-05
99,3.033898014109582e-05,0.0001756674799253233,6.066692003514618e-05
101,3.14860200160183e-05,0.00017896685021696613,6.285016017500311e-05
103,3.700409986777231e-05,0.00018846870982088147,6.375523982569575e-05
105,3.4784919989760965e-05,0.00019275702012237162,6.475186004536227e-05
107,3.2637930125929415e-05,0.0002141811599722132,6.620820000534878e-05
109,3.4278869861736894e-05,0.00021415796974906697,6.714086019201205e-05
111,3.413926984649151e-05,0.00020077961991773918,6.878569984110072e-05
113,3.475888021057472e-05,0.00020873424015007913,7.070427003782243e-05
115,3.505494998535141e-05,0.00021491930994670837,9.445823990972713e-05
117,3.644125012215227e-05,0.00023151372995926068,9.840359998634086e-05
119,3.611524007283151e-05,0.00023201995005365462,9.770409989869222e-05
121,3.7829279899597166e-05,0.0002287664799951017,9.60970699088648e-05
123,3.813329996773973e-05,0.00024311507004313171,0.00010174788010772318
125,3.907017002347857e-05,0.0002678808101336472,0.00010167008003918454
127,3.9218350138980895e-05,0.00023341966996667907,0.00010723270010203123
129,4.097497992916033e-05,0.00025351215997943655,8.454362017801031e-05
131,4.047657013870776e-05,0.0002518582402262837,8.754342008614912e-05
133,4.2587569914758206e-05,0.00025059253006475045,9.673784021288156e-05
135,4.451723012607544e-05,0.00025631096999859435,9.759375010617078e-05
137,4.504967975663021e-05,0.000252109210123308,0.00010338099993532523
139,4.804128024261445e-05,0.0002701169898500666,0.00010751438006991521
141,4.855166014749557e-05,0.00027564520976739,0.00010838370013516397
143,4.8830800224095584e-05,0.0002802191098453477,9.772766992682591e-05
145,4.8106380272656676e-05,0.0002829553000628948,9.691979008493945e-05
147,4.745185025967657e-05,0.0002756658298312686,9.667878010077402e-05
149,4.906540998490527e-05,0.00029285874014021827,0.00010051464021671564
151,4.992332018446177e-05,0.0003007941698888317,0.00010154843010241166
153,4.914010991342366e-05,0.0003077326298807748,0.00010525209014303982
155,5.058995011495426e-05,0.00032236888015177103,0.00010812880005687475
157,5.201580992434174e-05,0.0003142609697533771,0.00010542125004576519
159,5.4521459969691935e-05,0.00032855855009984226,0.00010854788997676224
161,5.3723309829365465e-05,0.00032792727986816314,0.00011023328988812864
163,5.4737110040150584e-05,0.0004387292100000195,0.00011274910008069128
165,5.5662420054432e-05,0.00042383237014291807,0.00011339973978465423
167,5.5910240043886005e-05,0.0003596718100016005,0.00011675207002554089
169,5.882335011847317e-05,0.00034816586005035786,0.00011750850011594593
171,5.959679983789101e-05,0.0003681942500406876,0.00011917324998648837
173,6.281726993620396e-05,0.0003719906002515927,0.00012365489004878327
175,6.940719991689548e-05,0.0003721987799508497,0.00012178511009551585
177,6.559830013429747e-05,0.0003926564802532084,0.0001256103499326855
179,6.147601001430303e-05,0.0004042964498512447,0.00012678913975832984
181,5.943566997302696e-05,0.0003971907199593261,0.00013084599981084467
183,6.155151990242303e-05,0.0004027159500401467,0.0001298023498384282
185,6.150845001684502e-05,0.0003952752400073223,0.00012809348001610488
187,6.507168000098318e-05,0.0004166806599823758,0.00013322714017704128
189,6.902471010107547e-05,0.0004249655400053598,0.0001374438899802044
191,6.5360130101908e-05,0.00041556217009201644,0.00013681014999747276
193,6.767412996850908e-05,0.00042325329006416725,0.00013992332009365782
195,6.619310006499291e-05,0.0005021231499267742,0.00014046548982150854
197,6.854806997580454e-05,0.0004421202899538912,0.00014104779984336346
199,6.951795017812401e-05,0.0004675783301354386,0.00014886151999235153
201,6.876174011267721e-05,0.00046792395994998514,0.00015177218010649086
203,6.95332299801521e-05,0.00044061467982828615,0.00014730653987498954
205,7.083684002282098e-05,0.0004531499498989433,0.00015129025996429846
207,7.388520985841751e-05,0.0004683959600515664,0.0001527326798532158
209,7.280075980816037e-05,0.00046652782009914517,0.00015442587988218293
211,7.431413017911836e-05,0.0004692506999708712,0.0001539912199950777
213,7.325350976316259e-05,0.000513163449941203,0.00016520743985893205
215,7.575602998258546e-05,0.0005096449499251321,0.00016482695995364337
217,7.620035990839825e-05,0.0005428060801932588,0.0001670220700907521
219,7.721859990851954e-05,0.0005506937601603567,0.00016674010985298082
221,7.782010012306272e-05,0.000530901660094969,0.0001665883799432777
223,7.614172005560249e-05,0.0005412368700490333,0.00016773973999079317
225,7.727295014774427e-05,0.0005239011498633773,0.00016507323016412556
227,7.792957010678947e-05,0.0005338835300062783,0.00016751849005231634
229,8.082423999439926e-05,0.0005837251900811679,0.00017541969020385296
231,8.112105017062277e-05,0.0005595737797557377,0.00018278700998052954
233,7.80303799547255e-05,0.0005584725999506191,0.00017548962001455947
235,7.944893004605547e-05,0.0005640086502535269,0.00017661467980360613
237,7.894652982940897e-05,0.0005770229498739354,0.00018086377007421107
239,8.297618012875318e-05,0.0005994129899772816,0.00018457481986843048
241,8.287599979666993e-05,0.0005805067502660676,0.00018172534008044749
243,8.925703994464129e-05,0.0005990735799423419,0.0001871398798539303
245,8.648089016787707e-05,0.0005776451900601387,0.0002192558001843281
247,8.601367007941008e-05,0.000624603680043947,0.0002020675700623542
249,8.621165005024523e-05,0.0006153484300011769,0.00019598788989242167
251,8.60399502562359e-05,0.0006416358801652677,0.00020837531017605214
253,8.521714014932514e-05,0.0006235135000315495,0.0001999238901771605
255,8.7173170177266e-05,0.0006577248600660823,0.00020504865009570494
257,8.773509995080531e-05,0.0006502950398134999,0.00020494266995228826
259,9.128122008405625e-05,0.0006805408399668522,0.00021096735988976434
261,9.461011009989306e-05,0.0006850157998269424,0.00021205759985605256
263,9.70868399599567e-05,0.00072227208991535,0.00022202082007424906
265,0.00010050331999082118,0.0006992074000299908,0.00021550628007389606
267,9.604797000065446e-05,0.0007025613798759877,0.00022089761012466624
269,0.00010528529004659504,0.0007083365399739705,0.00022441644017817452
271,0.00010484169994015246,0.0006916163399000652,0.00021738181007094682
273,0.00011611715977778658,0.0007530311300070025,0.00023370198003249242
275,0.00010175845003686846,0.0007499050500337035,0.00026851536997128276
277,0.00010007339005824178,0.0007342182198772207,0.0002597218300797977
279,0.00010362078028265387,0.0007505759000196122,0.00029644186986843124
281,0.00011283111001830548,0.0007454850300564431,0.0002905773199745454
283,0.00010580591013422236,0.0007568462699418888,0.0003201067299232818
285,0.00010250044986605645,0.0007688700399012305,0.0003309998899931088
287,0.00010891217010794207,0.0007786711299559102,0.0003288278798572719
289,0.00011284957989118993,0.0007835069301654584,0.000286205809970852
291,0.00010956462996546179,0.0008466129199950956,0.00025543546973494813
293,0.00010970553004881367,0.0008120449099806137,0.0002511883599800058
295,0.00011423104006098583,0.0007984181199572049,0.00025157071009743957
297,0.00011171506979735568,0.0008412575500551611,0.0002616996297729202
299,0.00011250651004957035,0.000848690010025166,0.0002615563798462972
301,0.00011504124006023631,0.0008772524198866449,0.00026758580992463976
303,0.00011239263985771686,0.0008965093200094998,0.0002695029799360782
305,0.0001152513301349245,0.0008832047000760213,0.0002717241400387138
307,0.00011579326004721225,0.0009145747599541209,0.0002749964699614793
309,0.00011543116997927427,0.000929753870004788,0.0002816418500151485
311,0.00011289679008768871,0.0008801365399267524,0.00027327224001055583
313,0.00012062485999194905,0.0008935894799651578,0.00028210169984959065
315,0.00011948875995585694,0.0009336814298876561,0.0002852647498366423
317,0.0001223148001008667,0.0009593210797174833,0.00029798401024891066
319,0.0001250763700227253,0.0009202499900129624,0.0002823787901434116
321,0.00012062241992680356,0.0009076986700529233,0.000288298619852867
323,0.00012382381013594567,0.0009801677498035132,0.0002987879698048346
325,0.0001209608800127171,0.0009646321798209101,0.0003001009998843074
327,0.00012678906001383438,0.0009787502902327105,0.00030633182992460204
329,0.00012339256994891912,0.0009422549599548801,0.00029845048004062847
331,0.0001258742599748075,0.001013410150189884,0.0003136631299275905
333,0.00012804337980924175,0.001016837030183524,0.0003232451601070352
335,0.00012716400990029798,0.001037030900188256,0.0003214995699818246
337,0.00013029961002757772,0.001021369129884988,0.00033113526995293797
339,0.00012650596007006244,0.0010447276500053703,0.00035347883997019383
341,0.00013164906995370983,0.000997810330009088,0.0003201585600618273
343,0.0001324045902583748,0.0010561667499132455,0.0003304702098830603
345,0.00013608435983769596,0.0010392984200734644,0.00032989049999741836
347,0.0001386116800131276,0.0010855168700800277,0.00034200132009573283
349,0.00014065472001675516,0.001068107559985947,0.0003393528499873355
351,0.00014454243995714932,0.0010795846799737773,0.0003484412102261558
353,0.00013755527004832401,0.0010701371397590265,0.00034724016004474836
355,0.00014515164017211646,0.001123415530018974,0.00035885054006939754
357,0.00014685870992252602,0.0010969358001602814,0.00035641740018036214
359,0.00014203179016476498,0.0011743412198848091,0.0003605812700698152
361,0.00014077634987188503,0.0011608914798125626,0.0003551120701013133
363,0.00014289251004811376,0.0011644742300268263,0.0003620591200888157
365,0.00014283583994256332,0.0011994519401923754,0.0003769673602073453
367,0.0001400523498887196,0.0012097951301257126,0.00037585385987767947
369,0.00014598156994907185,0.0011821836099261418,0.00037564612983260304
371,0.00014793988986639306,0.001193628860055469,0.00037271797977155073
373,0.0001496617600787431,0.0012196508099441416,0.0003805841397843324
375,0.00014856744994176552,0.0012328721201629379,0.0003864469099789858
377,0.00014808432024437934,0.0011818169697653503,0.0003782664801110513
379,0.00015475146006792783,0.001243966709880624,0.0003904494398739189
381,0.00016979381995042787,0.00124637116008671,0.00039277551986742764
383,0.00016366831987397746,0.001245229129854124,0.0003931957102031447
385,0.00015690036991145462,0.0012357900300412439,0.00039172182005131617
387,0.00015524594025919213,0.0013065296100103296,0.00039984878996619956
389,0.00015331004018662498,0.0012875103199621663,0.0004100925801321864
391,0.00015764685987960548,0.0013242179399821908,0.00041085682983975857
393,0.00015582179999910296,0.0012744268402457236,0.0004090137701132335
395,0.00015973037021467463,0.0013180491799721493,0.0004151283999090083
397,0.00016529279993847013,0.0012747143598971888,0.0004076351900584996
399,0.00016756158001953735,0.001330066790105775,0.0004150861399830319
401,0.00016794002003734932,0.0014122291700914501,0.0004375888098729774
403,0.0001648684198153205,0.0013868511401233263,0.0004287024200311862
405,0.00017047052999259903,0.0013539147001574746,0.00042766591010149566
407,0.00017168560996651648,0.0014581656400696375,0.00044220755982678385
409,0.0001663696300238371,0.00142841536027845,0.00043889193009817975
411,0.00017090437992010266,0.0014195680400007405,0.00043457517022034154
413,0.00017294814984779804,0.001447594680066686,0.0004500575101701543
415,0.00017779434012481942,0.0014278319297591224,0.0004402385299908929
417,0.00017674148024525492,0.0015020019700750708,0.00046337074018083514
419,0.0001766877798945643,0.0014957557601155713,0.00047102682001423093
421,0.0001775878600892611,0.0013971367399790325,0.0004441614300594665
423,0.00017457544017815963,0.001499436910089571,0.000468251459824387
425,0.00017872423020889983,0.0015183644101489336,0.0004708000298705883
427,0.00018356334971031174,0.0015301022300263866,0.00048062371992273255
429,0.00017431081010727212,0.0015542415200616234,0.00048581501992885025
431,0.0001823990000411868,0.0015302476999931969,0.00048056561005068945
433,0.00018361105991061778,0.0015418214901001192,0.0004814391699619591
435,0.00018228429980808868,0.0015192979798302987,0.000475134759908542
437,0.00018034223990980535,0.001508068070106674,0.00047204764996422455
439,0.00018572742003016173,0.0015952659398317337,0.0004994480099412612
441,0.00018817217001924292,0.0015175019099842757,0.00048123569024028257
443,0.00019521203998010606,0.0015676176300621592,0.0004953056399244815
445,0.00018805917003192007,0.001688668449933175,0.0005167917799553834
447,0.00019232455000746994,0.0016897169299772941,0.0005115414099418559
449,0.00018692357989493757,0.0016475167497992515,0.0005069171899231151
451,0.00019536998006515206,0.0016573068100842647,0.0005131745999096892
453,0.00019221931986976415,0.0016950120800174773,0.0005300902397721074
455,0.00018848932988476007,0.0017112951801391317,0.0005352755999774672
457,0.00019412900001043455,0.0016686787601793184,0.0005269444599980489
459,0.00019245346018578857,0.0016980522600351833,0.0005339496201486327
461,0.00020100202003959567,0.0016679169901181012,0.0005234867698163725
463,0.00019156827998813243,0.0017122637599823066,0.0005402505298843607
465,0.00019331514980876818,0.0017182528000557794,0.0005506127901026048
467,0.00019886053021764383,0.0017261454899562523,0.0005429407698102296
469,0.000195602809835691,0.0017264983701170422,0.00054304166988004
471,0.00018760499980999157,0.001813391110044904,0.0005607999800122343
473,0.00019401108991587535,0.0018781418100115843,0.0006422917800955474
475,0.0002080737700453028,0.0017674248100956903,0.0006175836001057178
477,0.0002009944900055416,0.001802894480060786,0.0005756290399585851
479,0.00020704087015474215,0.0019027652399381623,0.000586979350191541
481,0.00020779422979103402,0.0018156717400415801,0.0005855960102053359
483,0.0002072357799625024,0.0018932764598866925,0.0005973634397378191
485,0.00020789467002032324,0.0018505127998651005,0.0006149220699444414
487,0.00020073436986422165,0.0018776009400608019,0.000642778720066417
489,0.00020254884992027656,0.0018733889600844123,0.0006145376598578878
491,0.00023633629985852166,0.0019237385599990375,0.0006039168100687675
493,0.00021215166983893141,0.001930512370017823,0.0006040172799839638
495,0.0002083254902390763,0.0019675338198430837,0.0006218654700205662
497,0.00021826807002071292,0.00198528657987481,0.0006398329799412749
499,0.00021280583983752878,0.002003408899763599,0.0006514408698421903
501,0.00020932560000801458,0.00197448835009709,0.0006308947200886905
503,0.00021432032983284444,0.0019943292200332507,0.0006312230398179963
505,0.00022013006993802265,0.001965139860112686,0.0006148465399746783
507,0.00021848474978469312,0.0020023486102581957,0.0006283827699371614
509,0.00022151323006255552,0.0020127632800722496,0.0006343490100698545
511,0.0002207846997771412,0.0020490474402322435,0.0006719664900447242
